variable,importance,label
schooling_years,0.5610403585757754,Years of schooling
exp_c,0.125086801182538,Experience (centered)
occ_Trabajador por cuenta propia,0.086069375302444,Occupation: Trabajador por cue
female,0.08343462143135653,Gender (female)
exp_c2,0.040983501376761745,Experience squared
occ_Patron/empleador,0.018310030171142223,Occupation: Patron/empleador
com_8,0.013440742536096228,Commune 8
com_14,0.008532042345944785,Commune 14
com_6,0.007180330021703505,Commune 6
com_4,0.007007922945889376,Commune 4
com_7,0.006980797570532931,Commune 7
com_3,0.006525708627459625,Commune 3
